"Zipcode","City","State","Lat","Long","Location"
"36125","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36130","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36131","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36132","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36133","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36134","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36135","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36140","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36141","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36142","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36177","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36191","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36559","MONTROSE","AL",30.56,-87.9,"NA-US-AL-MONTROSE"
"35004","MOODY","AL",33.59,-86.49,"NA-US-AL-MOODY"
"35649","MOORESVILLE","AL",34.62,-86.88,"NA-US-AL-MOORESVILLE"
"35116","MORRIS","AL",33.74,-86.8,"NA-US-AL-MORRIS"
"35650","MOULTON","AL",34.48,-87.28,"NA-US-AL-MOULTON"
"35474","MOUNDVILLE","AL",32.99,-87.63,"NA-US-AL-MOUNDVILLE"
"35651","MOUNT HOPE","AL",34.4,-87.44,"NA-US-AL-MOUNT HOPE"
"36057","MOUNT MEIGS","AL",32.36,-86.06,"NA-US-AL-MOUNT MEIGS"
"35117","MOUNT OLIVE","AL",33.67,-86.89,"NA-US-AL-MOUNT OLIVE"
"36560","MOUNT VERNON","AL",31.09,-88.01,"NA-US-AL-MOUNT VERNON"
"35118","MULGA","AL",33.54,-86.97,"NA-US-AL-MULGA"
"36268","MUNFORD","AL",33.53,-85.92,"NA-US-AL-MUNFORD"
"36269","MUSCADINE","AL",33.74,-85.37,"NA-US-AL-MUSCADINE"
"35661","MUSCLE SHOALS","AL",34.74,-87.64,"NA-US-AL-MUSCLE SHOALS"
